price_day_person,location,capacity,bedroom_num,beds_num
21€ pers./noche (aprox),Zahara de la Sierra,15 personas,5 dormitorios,13 camas
25€ pers./noche (aprox),Laroya,"2 - 
  26 personas",4 dormitorios,18 camas
23€ pers./noche (aprox),El Bosque,"2 - 
  14 personas",10 dormitorios,10 camas
27€ pers./noche (aprox),Torres,"2 - 
  8 personas",4 dormitorios,5 camas
23€ pers./noche (aprox),Villamartín,"10 - 
  12 personas",6 dormitorios,13 camas
23€ pers./noche (aprox),Archidona,"10 - 
  10 personas",5 dormitorios,9 camas
17€ pers./noche (aprox),Órgiva,"4 - 
  5 personas",2 dormitorios,4 camas
24€ pers./noche (aprox),Arcos de la Frontera,"8 - 
  23 personas",7 dormitorios,18 camas
20€ pers./noche (aprox),Fontanar,"4 - 
  30 personas",19 dormitorios,23 camas
26€ pers./noche (aprox),Cardeña,"8 - 
  18 personas",8 dormitorios,19 camas
24€ pers./noche (aprox),Pozoblanco,"2 - 
  15 personas",8 dormitorios,13 camas
27€ pers./noche (aprox),La Carlota,"10 - 
  14 personas",5 dormitorios,10 camas
21€ pers./noche (aprox),Villanueva del Arzobispo,"18 - 
  20 personas",21 dormitorios,25 camas
18€ pers./noche (aprox),El Bosque,"6 - 
  22 personas",10 dormitorios,11 camas
20€ pers./noche (aprox),Cuevas de San Marcos,"10 - 
  17 personas",7 dormitorios,18 camas
20€ pers./noche (aprox),Pozo Alcón,"4 - 
  20 personas",14 camas,20€ pers./noche (aprox)
23€ pers./noche (aprox),Arcos de la Frontera,"2 - 
  21 personas",15 dormitorios,20 camas
34€ pers./noche (aprox),El Chorro,"2 - 
  37 personas",2 dormitorios,26 camas
19€ pers./noche (aprox),Olvera,"10 - 
  28 personas",9 dormitorios,18 camas
26€ pers./noche (aprox),Gorafe,"2 - 
  17 personas",6 dormitorios,12 camas
21€ pers./noche (aprox),Zahara de la Sierra,15 personas,5 dormitorios,13 camas
25€ pers./noche (aprox),Laroya,"2 - 
  26 personas",4 dormitorios,18 camas
23€ pers./noche (aprox),El Bosque,"2 - 
  14 personas",10 dormitorios,10 camas
27€ pers./noche (aprox),Torres,"2 - 
  8 personas",4 dormitorios,5 camas
23€ pers./noche (aprox),Villamartín,"10 - 
  12 personas",6 dormitorios,13 camas
23€ pers./noche (aprox),Archidona,"10 - 
  10 personas",5 dormitorios,9 camas
17€ pers./noche (aprox),Órgiva,"4 - 
  5 personas",2 dormitorios,4 camas
24€ pers./noche (aprox),Arcos de la Frontera,"8 - 
  23 personas",7 dormitorios,18 camas
20€ pers./noche (aprox),Fontanar,"4 - 
  30 personas",19 dormitorios,23 camas
26€ pers./noche (aprox),Cardeña,"8 - 
  18 personas",8 dormitorios,19 camas
24€ pers./noche (aprox),Pozoblanco,"2 - 
  15 personas",8 dormitorios,13 camas
27€ pers./noche (aprox),La Carlota,"10 - 
  14 personas",5 dormitorios,10 camas
21€ pers./noche (aprox),Villanueva del Arzobispo,"18 - 
  20 personas",21 dormitorios,25 camas
18€ pers./noche (aprox),El Bosque,"6 - 
  22 personas",10 dormitorios,11 camas
20€ pers./noche (aprox),Cuevas de San Marcos,"10 - 
  17 personas",7 dormitorios,18 camas
20€ pers./noche (aprox),Pozo Alcón,"4 - 
  20 personas",14 camas,20€ pers./noche (aprox)
23€ pers./noche (aprox),Arcos de la Frontera,"2 - 
  21 personas",15 dormitorios,20 camas
34€ pers./noche (aprox),El Chorro,"2 - 
  37 personas",2 dormitorios,26 camas
19€ pers./noche (aprox),Olvera,"10 - 
  28 personas",9 dormitorios,18 camas
26€ pers./noche (aprox),Gorafe,"2 - 
  17 personas",6 dormitorios,12 camas
29€ pers./noche (aprox),Ronda,"6 - 
  21 personas",3 dormitorios,18 camas
25€ pers./noche (aprox),Campocámara,"2 - 
  63 personas",43 camas,25€ pers./noche (aprox)
46€ pers./noche (aprox),Hinojares,"2 - 
  50 personas",32 camas,46€ pers./noche (aprox)
18€ pers./noche (aprox),Pozo Alcón,"2 - 
  40 personas",20 dormitorios,30 camas
25€ pers./noche (aprox),Prado del Rey,"2 - 
  22 personas",11 dormitorios,14 camas
33€ pers./noche (aprox),Alcalá de los Gazules,"2 - 
  10 personas",4 dormitorios,7 camas
22€ pers./noche (aprox),Riogordo,"14 - 
  24 personas",7 dormitorios,18 camas
21€ pers./noche (aprox),Pozo Alcón,"2 - 
  37 personas",19 dormitorios,29 camas
23€ pers./noche (aprox),Villanueva del Arzobispo,"12 - 
  22 personas",11 dormitorios,16 camas
22€ pers./noche (aprox),Casabermeja,"1 - 
  36 personas",12 dormitorios,32 camas
20€ pers./noche (aprox),Granada,"1 - 
  12 personas",6 dormitorios,9 camas
19€ pers./noche (aprox),Antequera,"2 - 
  10 personas",5 dormitorios,5 camas
25€ pers./noche (aprox),Las Navas de la Concepción,"1 - 
  12 personas",6 dormitorios,13 camas
18€ pers./noche (aprox),Cártama,10 personas,3 dormitorios,10 camas
18€ pers./noche (aprox),Antequera,"2 - 
  6 personas",3 dormitorios,5 camas
20€ pers./noche (aprox),Castilblanco de los Arroyos,"2 - 
  30 personas",18 dormitorios,22 camas
14€ pers./noche (aprox),Villaviciosa de Córdoba,"2 - 
  10 personas",13 camas,14€ pers./noche (aprox)
26€ pers./noche (aprox),Pozo Alcón,"2 - 
  51 personas",13 dormitorios,36 camas
28€ pers./noche (aprox),Valdelarco,"1 - 
  26 personas",12 dormitorios,24 camas
25€ pers./noche (aprox),Montoro,"10 - 
  16 personas",7 dormitorios,14 camas
40€ pers./noche (aprox),Alhama de Granada,"6 - 
  18 personas",6 dormitorios,13 camas
