price_day_person,location,capacity,bedroom_num,beds_num
25€ pers./noche (aprox),Corrubedo,"10 - 
  10 personas",5 dormitorios,7 camas
21€ pers./noche (aprox),Poio,"1 - 
  16 personas",3 dormitorios,13 camas
26€ pers./noche (aprox),Cabana de Bergantiños,"6 - 
  12 personas",4 dormitorios,8 camas
24€ pers./noche (aprox),Canaval,Íntegro o habitaciones,"1 - 
  28 personas",7 dormitorios
18€ pers./noche (aprox),A Fonsagrada,"2 - 
  18 personas",13 camas,18€ pers./noche (aprox)
27€ pers./noche (aprox),A Lama,"2 - 
  14 personas",5 dormitorios,12 camas
25€ pers./noche (aprox),Vilaboa,"2 - 
  8 personas",4 dormitorios,5 camas
30€ pers./noche (aprox),Seoane do Courel,"2 - 
  54 personas",31 dormitorios,40 camas
27€ pers./noche (aprox),Combarro,"1 - 
  4 personas",2 dormitorios,2 camas
20€ pers./noche (aprox),Portas,"2 - 
  6 personas",3 dormitorios,5 camas
41€ pers./noche (aprox),Cee,17 personas,3 dormitorios,14 camas
22€ pers./noche (aprox),A Baña,"2 - 
  16 personas",8 dormitorios,10 camas
20€ pers./noche (aprox),San Xoán de Río,"1 - 
  41 personas",12 dormitorios,30 camas
30€ pers./noche (aprox),Boboras,Íntegro o habitaciones,"2 - 
  18 personas",6 dormitorios
19€ pers./noche (aprox),Laxe,"12 - 
  16 personas",8 dormitorios,10 camas
22€ pers./noche (aprox),Folgoso do Courel,"1 - 
  20 personas",10 dormitorios,15 camas
13€ pers./noche (aprox),A Ponte do Porto,"2 - 
  8 personas",4 dormitorios,5 camas
28€ pers./noche (aprox),Catoira,Íntegro o habitaciones,"2 - 
  22 personas",5 dormitorios
27€ pers./noche (aprox),Samos,Íntegro o habitaciones,"2 - 
  24 personas",11 dormitorios
35€ pers./noche (aprox),Sanxenxo,"2 - 
  12 personas",4 dormitorios,9 camas
25€ pers./noche (aprox),Corrubedo,"10 - 
  10 personas",5 dormitorios,7 camas
21€ pers./noche (aprox),Poio,"1 - 
  16 personas",3 dormitorios,13 camas
26€ pers./noche (aprox),Cabana de Bergantiños,"6 - 
  12 personas",4 dormitorios,8 camas
24€ pers./noche (aprox),Canaval,Íntegro o habitaciones,"1 - 
  28 personas",7 dormitorios
18€ pers./noche (aprox),A Fonsagrada,"2 - 
  18 personas",13 camas,18€ pers./noche (aprox)
27€ pers./noche (aprox),A Lama,"2 - 
  14 personas",5 dormitorios,12 camas
25€ pers./noche (aprox),Vilaboa,"2 - 
  8 personas",4 dormitorios,5 camas
30€ pers./noche (aprox),Seoane do Courel,"2 - 
  54 personas",31 dormitorios,40 camas
27€ pers./noche (aprox),Combarro,"1 - 
  4 personas",2 dormitorios,2 camas
20€ pers./noche (aprox),Portas,"2 - 
  6 personas",3 dormitorios,5 camas
41€ pers./noche (aprox),Cee,17 personas,3 dormitorios,14 camas
22€ pers./noche (aprox),A Baña,"2 - 
  16 personas",8 dormitorios,10 camas
20€ pers./noche (aprox),San Xoán de Río,"1 - 
  41 personas",12 dormitorios,30 camas
30€ pers./noche (aprox),Boboras,Íntegro o habitaciones,"2 - 
  18 personas",6 dormitorios
19€ pers./noche (aprox),Laxe,"12 - 
  16 personas",8 dormitorios,10 camas
22€ pers./noche (aprox),Folgoso do Courel,"1 - 
  20 personas",10 dormitorios,15 camas
13€ pers./noche (aprox),A Ponte do Porto,"2 - 
  8 personas",4 dormitorios,5 camas
28€ pers./noche (aprox),Catoira,Íntegro o habitaciones,"2 - 
  22 personas",5 dormitorios
27€ pers./noche (aprox),Samos,Íntegro o habitaciones,"2 - 
  24 personas",11 dormitorios
35€ pers./noche (aprox),Sanxenxo,"2 - 
  12 personas",4 dormitorios,9 camas
22€ pers./noche (aprox),Cuntis,12 personas,4 dormitorios,10 camas
24€ pers./noche (aprox),Melide,"8 - 
  18 personas",7 dormitorios,16 camas
25€ pers./noche (aprox),A Fonsagrada,"2 - 
  2 personas",1 dormitorio,2 camas
25€ pers./noche (aprox),Ribeira,"14 - 
  18 personas",7 dormitorios,9 camas
33€ pers./noche (aprox),Chantada,"12 - 
  58 personas",16 dormitorios,39 camas
21€ pers./noche (aprox),Catoira,"2 - 
  33 personas",3 dormitorios,21 camas
23€ pers./noche (aprox),Cabana de Bergantiños,"1 - 
  7 personas",3 dormitorios,4 camas
24€ pers./noche (aprox),Cabana de Bergantiños,Íntegro o habitaciones,"2 - 
  18 personas",7 dormitorios
12€ pers./noche (aprox),Santiago de Compostela,"1 - 
  18 personas",9 camas,12€ pers./noche (aprox)
30€ pers./noche (aprox),Ribeira de Piquín,"1 - 
  16 personas",5 dormitorios,9 camas
26€ pers./noche (aprox),A Fonsagrada,Íntegro o habitaciones,"1 - 
  26 personas",16 camas
28€ pers./noche (aprox),Tui,"2 - 
  13 personas",4 dormitorios,8 camas
25€ pers./noche (aprox),Rianxo,"1 - 
  9 personas",4 dormitorios,7 camas
18€ pers./noche (aprox),A Fonsagrada,"2 - 
  18 personas",8 dormitorios,16 camas
42€ pers./noche (aprox),Ponte Caldelas,9 personas,3 dormitorios,7 camas
27€ pers./noche (aprox),Carballo,"12 - 
  16 personas",6 dormitorios,11 camas
