price_day_person,location,capacity,bedroom_num,beds_num
24€ pers./noche (aprox),Sils,"10 - 
  40 personas",15 dormitorios,24 camas
24€ pers./noche (aprox),Riudarenes,"10 - 
  43 personas",13 dormitorios,30 camas
25€ pers./noche (aprox),Cassà de la Selva,"14 - 
  20 personas",6 dormitorios,17 camas
37€ pers./noche (aprox),Les Llosses,"15 - 
  22 personas",8 dormitorios,14 camas
33€ pers./noche (aprox),Cassà de la Selva,"4 - 
  20 personas",8 dormitorios,16 camas
33€ pers./noche (aprox),Sant Esteve de Guialbes,"16 - 
  20 personas",7 dormitorios,14 camas
27€ pers./noche (aprox),Llers,"7 - 
  8 personas",3 dormitorios,6 camas
23€ pers./noche (aprox),Orfes,"10 - 
  18 personas",8 dormitorios,14 camas
28€ pers./noche (aprox),Capmany,8 personas,3 dormitorios,6 camas
19€ pers./noche (aprox),Torroella de Fluvià,"7 - 
  29 personas",9 dormitorios,27 camas
26€ pers./noche (aprox),Espolla,"2 - 
  6 personas",3 dormitorios,5 camas
38€ pers./noche (aprox),Castelló d'Empúries,"4 - 
  53 personas",5 dormitorios,38 camas
39€ pers./noche (aprox),Cruïlles,"2 - 
  11 personas",4 dormitorios,6 camas
33€ pers./noche (aprox),Setcases,"2 - 
  22 personas",16 dormitorios,17 camas
38€ pers./noche (aprox),Oix,"2 - 
  20 personas",7 dormitorios,15 camas
23€ pers./noche (aprox),Rocabruna,"1 - 
  12 personas",7 dormitorios,9 camas
28€ pers./noche (aprox),Maçanet de la Selva,"10 - 
  22 personas",7 dormitorios,26 camas
26€ pers./noche (aprox),Gombrèn,10 personas,4 dormitorios,8 camas
26€ pers./noche (aprox),Fonolleres,"4 - 
  21 personas",8 dormitorios,16 camas
32€ pers./noche (aprox),Fontanilles,"6 - 
  8 personas",3 dormitorios,6 camas
24€ pers./noche (aprox),Sils,"10 - 
  40 personas",15 dormitorios,24 camas
24€ pers./noche (aprox),Riudarenes,"10 - 
  43 personas",13 dormitorios,30 camas
25€ pers./noche (aprox),Cassà de la Selva,"14 - 
  20 personas",6 dormitorios,17 camas
37€ pers./noche (aprox),Les Llosses,"15 - 
  22 personas",8 dormitorios,14 camas
33€ pers./noche (aprox),Cassà de la Selva,"4 - 
  20 personas",8 dormitorios,16 camas
33€ pers./noche (aprox),Sant Esteve de Guialbes,"16 - 
  20 personas",7 dormitorios,14 camas
27€ pers./noche (aprox),Llers,"7 - 
  8 personas",3 dormitorios,6 camas
23€ pers./noche (aprox),Orfes,"10 - 
  18 personas",8 dormitorios,14 camas
28€ pers./noche (aprox),Capmany,8 personas,3 dormitorios,6 camas
19€ pers./noche (aprox),Torroella de Fluvià,"7 - 
  29 personas",9 dormitorios,27 camas
26€ pers./noche (aprox),Espolla,"2 - 
  6 personas",3 dormitorios,5 camas
38€ pers./noche (aprox),Castelló d'Empúries,"4 - 
  53 personas",5 dormitorios,38 camas
39€ pers./noche (aprox),Cruïlles,"2 - 
  11 personas",4 dormitorios,6 camas
33€ pers./noche (aprox),Setcases,"2 - 
  22 personas",16 dormitorios,17 camas
38€ pers./noche (aprox),Oix,"2 - 
  20 personas",7 dormitorios,15 camas
23€ pers./noche (aprox),Rocabruna,"1 - 
  12 personas",7 dormitorios,9 camas
28€ pers./noche (aprox),Maçanet de la Selva,"10 - 
  22 personas",7 dormitorios,26 camas
26€ pers./noche (aprox),Gombrèn,10 personas,4 dormitorios,8 camas
26€ pers./noche (aprox),Fonolleres,"4 - 
  21 personas",8 dormitorios,16 camas
32€ pers./noche (aprox),Fontanilles,"6 - 
  8 personas",3 dormitorios,6 camas
60€ pers./noche (aprox),Sant Andreu del Terri,"1 - 
  17 personas",7 dormitorios,18 camas
51€ pers./noche (aprox),Batet de la Serra,6 personas,3 dormitorios,5 camas
32€ pers./noche (aprox),Massanes,"12 - 
  15 personas",5 dormitorios,10 camas
32€ pers./noche (aprox),Sobrestany,"2 - 
  14 personas",8 dormitorios,32€ pers./noche (aprox) · Reserva online
26€ pers./noche (aprox),Cornellà del Terri,"6 - 
  10 personas",4 dormitorios,8 camas
20€ pers./noche (aprox),Capmany,"1 - 
  8 personas",3 dormitorios,7 camas
27€ pers./noche (aprox),La Vall de Bianya,12 personas,11 dormitorios,8 camas
29€ pers./noche (aprox),Sant Gregori,12 personas,6 dormitorios,9 camas
55€ pers./noche (aprox),Osor,"2 - 
  2 personas",1 dormitorio,1 cama
40€ pers./noche (aprox),Torroella de Montgrí,Íntegro o habitaciones,16 personas,6 dormitorios
27€ pers./noche (aprox),Riudaura,"2 - 
  35 personas",14 dormitorios,28 camas
42€ pers./noche (aprox),Vilobí d'Onyar,"10 - 
  20 personas",5 dormitorios,26 camas
27€ pers./noche (aprox),Pardines,"2 - 
  19 personas",5 dormitorios,11 camas
33€ pers./noche (aprox),Sant Joan de les Abadesses,"2 - 
  19 personas",11 dormitorios,13 camas
22€ pers./noche (aprox),Mont-ras,"4 - 
  30 personas",8 dormitorios,30 camas
33€ pers./noche (aprox),Vilavenut,"8 - 
  19 personas",7 dormitorios,13 camas
29€ pers./noche (aprox),Porqueres,"4 - 
  21 personas",9 dormitorios,14 camas
22€ pers./noche (aprox),La Vall de Bianya,"2 - 
  21 personas",8 dormitorios,15 camas
15€ pers./noche (aprox),Pals,8 personas,3 dormitorios,7 camas
31€ pers./noche (aprox),Vilert,"10 - 
  12 personas",5 dormitorios,9 camas
32€ pers./noche (aprox),Vilanova de la Muga,Íntegro o habitaciones,"2 - 
  24 personas",5 dormitorios
23€ pers./noche (aprox),Les Llosses,"10 - 
  23 personas",8 dormitorios,16 camas
20€ pers./noche (aprox),Navata,"1 - 
  10 personas",5 dormitorios,7 camas
36€ pers./noche (aprox),Santa Coloma de Farners,Íntegro o habitaciones,"14 - 
  19 personas",6 dormitorios
34€ pers./noche (aprox),Amer,"4 - 
  9 personas",4 dormitorios,8 camas
38€ pers./noche (aprox),Urús,"6 - 
  21 personas",8 dormitorios,18 camas
45€ pers./noche (aprox),Fares,"2 - 
  90 personas",30 dormitorios,54 camas
22€ pers./noche (aprox),Espinelves,12 personas,5 dormitorios,9 camas
50€ pers./noche (aprox),Cistella,Íntegro o habitaciones,"1 - 
  17 personas",4 dormitorios
32€ pers./noche (aprox),Les Llosses,"8 - 
  27 personas",9 dormitorios,23 camas
52€ pers./noche (aprox),Sant Julià del Llor,"1 - 
  10 personas",5 dormitorios,13 camas
30€ pers./noche (aprox),Ripoll,"2 - 
  20 personas",14 dormitorios,15 camas
19€ pers./noche (aprox),Ultramort,28 personas,5 dormitorios,21 camas
25€ pers./noche (aprox),Ullà,"4 - 
  32 personas",22 camas,25€ pers./noche (aprox)
31€ pers./noche (aprox),Pedret i Marzà,"8 - 
  10 personas",4 dormitorios,10 camas
38€ pers./noche (aprox),Calonge,"21 - 
  25 personas",8 dormitorios,17 camas
30€ pers./noche (aprox),La Vall de Bianya,"2 - 
  18 personas",7 dormitorios,10 camas
29€ pers./noche (aprox),Mieres,"4 - 
  24 personas",7 dormitorios,29€ pers./noche (aprox)
16€ pers./noche (aprox),Cassà de la Selva,"13 - 
  22 personas",7 dormitorios,17 camas
34€ pers./noche (aprox),Maçanet de la Selva,"15 - 
  20 personas",5 dormitorios,18 camas
29€ pers./noche (aprox),Vilavenut,"11 - 
  22 personas",10 dormitorios,20 camas
16€ pers./noche (aprox),Sant Miquel de Fluvià,"2 - 
  12 personas",5 dormitorios,10 camas
40€ pers./noche (aprox),Beuda,5 personas,2 dormitorios,3 camas
25€ pers./noche (aprox),Fonteta,"1 - 
  10 personas",4 dormitorios,7 camas
23€ pers./noche (aprox),Sant Esteve de Guialbes,"6 - 
  31 personas",14 dormitorios,25 camas
22€ pers./noche (aprox),Vilanova de la Muga,"2 - 
  13 personas",5 dormitorios,10 camas
32€ pers./noche (aprox),Cassà de la Selva,7 personas,3 dormitorios,6 camas
30€ pers./noche (aprox),Osor,"15 - 
  24 personas",7 dormitorios,19 camas
33€ pers./noche (aprox),Viladrau,"1 - 
  16 personas",7 dormitorios,14 camas
25€ pers./noche (aprox),Sant Feliu de Pallerols,"25 - 
  58 personas",6 dormitorios,57 camas
32€ pers./noche (aprox),Sant Martí de Llémena,12 personas,5 dormitorios,8 camas
27€ pers./noche (aprox),Sils,"10 - 
  33 personas",10 dormitorios,17 camas
15€ pers./noche (aprox),Vilamaniscle,"4 - 
  15 personas",6 dormitorios,11 camas
24€ pers./noche (aprox),El Pla de Sant Joan,6 personas,3 dormitorios,3 camas
26€ pers./noche (aprox),L'Estartit,"2 - 
  12 personas",9 camas,26€ pers./noche (aprox)
35€ pers./noche (aprox),Les Planes d'Hostoles,"4 - 
  20 personas",8 dormitorios,17 camas
42€ pers./noche (aprox),La Vall d'en Bas,Íntegro o habitaciones,"2 - 
  15 personas",6 dormitorios
29€ pers./noche (aprox),Vilobí d'Onyar,"10 - 
  15 personas",5 dormitorios,12 camas
28€ pers./noche (aprox),Rocabruna,"2 - 
  27 personas",11 dormitorios,19 camas
27€ pers./noche (aprox),Vilamacolum,"8 - 
  14 personas",6 dormitorios,9 camas
35€ pers./noche (aprox),Arbúcies,"2 - 
  24 personas",9 dormitorios,18 camas
23€ pers./noche (aprox),Lladó,"2 - 
  18 personas",6 dormitorios,15 camas
26€ pers./noche (aprox),Sils,"10 - 
  34 personas",10 dormitorios,21 camas
26€ pers./noche (aprox),Beuda,"22 - 
  32 personas",12 dormitorios,25 camas
19€ pers./noche (aprox),Camprodon,"4 - 
  22 personas",10 dormitorios,17 camas
26€ pers./noche (aprox),Queralbs,"2 - 
  12 personas",3 dormitorios,9 camas
34€ pers./noche (aprox),Vilamarí,21 personas,9 dormitorios,21 camas
33€ pers./noche (aprox),Vilamarí,"15 - 
  18 personas",7 dormitorios,14 camas
19€ pers./noche (aprox),Riudarenes,14 personas,5 dormitorios,9 camas
28€ pers./noche (aprox),Sant Joan de les Abadesses,"4 - 
  16 personas",7 dormitorios,16 camas
25€ pers./noche (aprox),Orfes,8 personas,4 dormitorios,8 camas
44€ pers./noche (aprox),Susqueda,"1 - 
  26 personas",13 dormitorios,15 camas
47€ pers./noche (aprox),Vilafant,"1 - 
  18 personas",6 dormitorios,12 camas
60€ pers./noche (aprox),Llorà,"2 - 
  30 personas",8 dormitorios,24 camas
50€ pers./noche (aprox),Susqueda,"2 - 
  15 personas",6 dormitorios,10 camas
27€ pers./noche (aprox),La Vall de Bianya,"2 - 
  24 personas",7 dormitorios,18 camas
26€ pers./noche (aprox),Sant Pere Despuig,"2 - 
  11 personas",4 dormitorios,10 camas
34€ pers./noche (aprox),Molló,"4 - 
  12 personas",6 dormitorios,8 camas
30€ pers./noche (aprox),Canet d'Adri,8 personas,7 camas,30€ pers./noche (aprox)
20€ pers./noche (aprox),Sils,"14 - 
  22 personas",7 dormitorios,22 camas
27€ pers./noche (aprox),Sant Esteve de Llémena,6 personas,3 dormitorios,5 camas
21€ pers./noche (aprox),Riudarenes,"10 - 
  15 personas",6 dormitorios,12 camas
17€ pers./noche (aprox),Sant Pere Pescador,15 personas,6 dormitorios,10 camas
25€ pers./noche (aprox),Fontcoberta,"6 - 
  15 personas",12 dormitorios,15 camas
17€ pers./noche (aprox),Sant Tomàs de Fluvià,"5 - 
  25 personas",7 dormitorios,25 camas
29€ pers./noche (aprox),Arbúcies,"4 - 
  22 personas",9 dormitorios,16 camas
30€ pers./noche (aprox),Capmany,"1 - 
  22 personas",6 dormitorios,19 camas
29€ pers./noche (aprox),Santa Coloma de Farners,"1 - 
  10 personas",4 dormitorios,8 camas
27€ pers./noche (aprox),Espinavessa,"8 - 
  11 personas",4 dormitorios,8 camas
25€ pers./noche (aprox),Sant Miquel de Campmajor,"6 - 
  20 personas",6 dormitorios,15 camas
25€ pers./noche (aprox),Cassà de la Selva,"10 - 
  32 personas",12 dormitorios,23 camas
33€ pers./noche (aprox),Montfullà,"1 - 
  20 personas",6 dormitorios,14 camas
29€ pers./noche (aprox),Aiguaviva,"10 - 
  15 personas",5 dormitorios,14 camas
29€ pers./noche (aprox),Sils,"12 - 
  14 personas",6 dormitorios,12 camas
33€ pers./noche (aprox),El Mallol,"15 - 
  18 personas",6 dormitorios,13 camas
32€ pers./noche (aprox),Llampaies,Íntegro o habitaciones,"1 - 
  72 personas",14 dormitorios
28€ pers./noche (aprox),Arbúcies,"2 - 
  10 personas",8 camas,28€ pers./noche (aprox)
24€ pers./noche (aprox),Sils,"4 - 
  12 personas",4 dormitorios,9 camas
26€ pers./noche (aprox),Vidrà,16 personas,4 dormitorios,14 camas
29€ pers./noche (aprox),Maçanet de Cabrenys,"2 - 
  8 personas",4 dormitorios,6 camas
25€ pers./noche (aprox),La Vall de Bianya,"2 - 
  14 personas",6 dormitorios,7 camas
24€ pers./noche (aprox),Vilaür,"4 - 
  17 personas",7 dormitorios,11 camas
33€ pers./noche (aprox),Pardines,5 personas,2 dormitorios,4 camas
29€ pers./noche (aprox),Vilademuls,"1 - 
  14 personas",4 dormitorios,11 camas
24€ pers./noche (aprox),Riudarenes,"14 - 
  22 personas",8 dormitorios,19 camas
29€ pers./noche (aprox),Madremanya,"1 - 
  12 personas",8 camas,29€ pers./noche (aprox)
24€ pers./noche (aprox),Torroella de Fluvià,"2 - 
  10 personas",7 camas,24€ pers./noche (aprox)
27€ pers./noche (aprox),Maià de Montcal,"2 - 
  14 personas",7 dormitorios,9 camas
27€ pers./noche (aprox),Granollers de Rocacorba,"12 - 
  12 personas",8 camas,27€ pers./noche (aprox)
37€ pers./noche (aprox),Pals,"6 - 
  8 personas",4 dormitorios,7 camas
33€ pers./noche (aprox),Mollet de Peralada,"23 - 
  25 personas",9 dormitorios,19 camas
32€ pers./noche (aprox),Verges,"18 - 
  20 personas",7 dormitorios,11 camas
34€ pers./noche (aprox),Camprodon,"2 - 
  5 personas",5 dormitorios,4 camas
38€ pers./noche (aprox),Banyoles,"2 - 
  24 personas",6 dormitorios,14 camas
29€ pers./noche (aprox),Sant Climent Sescebes,8 personas,4 dormitorios,6 camas
24€ pers./noche (aprox),Les Planes d'Hostoles,"8 - 
  18 personas",8 dormitorios,14 camas
34€ pers./noche (aprox),Celrà,"10 - 
  22 personas",9 dormitorios,17 camas
27€ pers./noche (aprox),Ogassa,"4 - 
  20 personas",8 dormitorios,16 camas
28€ pers./noche (aprox),Llorà,"10 - 
  12 personas",4 dormitorios,12 camas
32€ pers./noche (aprox),Crespià,"2 - 
  26 personas",12 dormitorios,28 camas
30€ pers./noche (aprox),Sant Joan de les Abadesses,"5 - 
  24 personas",8 dormitorios,17 camas
24€ pers./noche (aprox),Sant Esteve d'en Bas,"17 - 
  20 personas",8 dormitorios,12 camas
28€ pers./noche (aprox),Esponellà,"13 - 
  15 personas",6 dormitorios,10 camas
25€ pers./noche (aprox),Garriguella,"10 - 
  12 personas",4 dormitorios,8 camas
40€ pers./noche (aprox),Espolla,"1 - 
  11 personas",5 dormitorios,7 camas
34€ pers./noche (aprox),Sant Miquel de Campmajor,"22 - 
  25 personas",9 dormitorios,25 camas
26€ pers./noche (aprox),Sant Medir,"1 - 
  23 personas",7 dormitorios,18 camas
47€ pers./noche (aprox),Llagostera,"15 - 
  28 personas",8 dormitorios,23 camas
29€ pers./noche (aprox),Les Llosses,"8 - 
  22 personas",8 dormitorios,13 camas
30€ pers./noche (aprox),Vidrà,"1 - 
  21 personas",8 dormitorios,17 camas
26€ pers./noche (aprox),Vidrà,36 personas,14 dormitorios,30 camas
30€ pers./noche (aprox),Sant Llorenç de la Muga,"7 - 
  11 personas",3 dormitorios,9 camas
33€ pers./noche (aprox),Peratallada,"1 - 
  15 personas",9 dormitorios,9 camas
35€ pers./noche (aprox),Arbúcies,"1 - 
  5 personas",2 dormitorios,4 camas
22€ pers./noche (aprox),Pals,"2 - 
  14 personas",6 dormitorios,11 camas
23€ pers./noche (aprox),Vilavenut,"7 - 
  22 personas",10 dormitorios,18 camas
29€ pers./noche (aprox),Sant Feliu de Pallerols,"2 - 
  12 personas",5 dormitorios,9 camas
28€ pers./noche (aprox),Sant Joan les Fonts,"2 - 
  18 personas",8 dormitorios,13 camas
27€ pers./noche (aprox),Beuda,"4 - 
  14 personas",6 dormitorios,11 camas
26€ pers./noche (aprox),Santa Pau,"12 - 
  16 personas",7 dormitorios,13 camas
25€ pers./noche (aprox),Les Preses,"4 - 
  8 personas",4 dormitorios,5 camas
22€ pers./noche (aprox),Les Preses,"4 - 
  14 personas",5 dormitorios,9 camas
31€ pers./noche (aprox),Sant Feliu de Pallerols,Íntegro o habitaciones,"2 - 
  30 personas",16 camas
26€ pers./noche (aprox),Castell d'Empordà,"4 - 
  15 personas",6 dormitorios,12 camas
43€ pers./noche (aprox),Sant Esteve de Llémena,"2 - 
  8 personas",4 dormitorios,4 camas
